"5","Y","621620701","","","","","","","","","","","","","","","","","","","","","","","","","","","20251022","","","","20260331","","","","","","","",""
"3","Y","622990101","16","スピジア点鼻液５ｍｇ　０．１ｍＬ","15","ｽﾋﾟｼﾞｱﾃﾝﾋﾞｴｷ5MG","19","1","瓶","1","8336.50","0","5","0","0","0","0","0","0","0","0","0","0","0.00","0","0","6","","20251022","99999999","1139701R1029","0","0","スピジア点鼻液５ｍｇ","20251022","","","0","0","0","0"
"3","Y","622990201","18","スピジア点鼻液７．５ｍｇ　０．１ｍＬ","17","ｽﾋﾟｼﾞｱﾃﾝﾋﾞｴｷ7.5MG","19","1","瓶","1","9337.60","0","5","0","0","0","0","0","0","0","0","0","0","0.00","0","0","6","","20251022","99999999","1139701R2025","0","0","スピジア点鼻液７．５ｍｇ","20251022","","","0","0","0","0"
"3","Y","622990301","17","スピジア点鼻液１０ｍｇ　０．１ｍＬ","16","ｽﾋﾟｼﾞｱﾃﾝﾋﾞｴｷ10MG","19","1","瓶","1","10120.00","0","5","0","0","0","0","0","0","0","0","0","0","0.00","0","0","6","","20251022","99999999","1139701R3021","0","0","スピジア点鼻液１０ｍｇ","20251022","","","0","0","0","0"
"3","Y","622991301","11","マグミット錠１００ｍｇ","15","ﾏｸﾞﾐｯﾄｼﾞｮｳ100MG","16","1","錠","1","12.70","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","1","","20251022","99999999","2344009F7025","0","0","マグミット錠１００ｍｇ","20251022","","","0","0","0","0"
"3","Y","622991501","21","ヨビパス皮下注１６８μｇペン　０．５６ｍＬ","20","ﾖﾋﾞﾊﾟｽﾋｶﾁｭｳ168ﾏｲｸﾛGﾍ","51","3","キット","1","571509.00","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","4","","20251022","99999999","2439404G1028","0","0","ヨビパス皮下注１６８μｇペン","20251022","","","0","0","0","0"
"3","Y","622991601","21","ヨビパス皮下注２９４μｇペン　０．９８ｍＬ","20","ﾖﾋﾞﾊﾟｽﾋｶﾁｭｳ294ﾏｲｸﾛGﾍ","51","3","キット","1","584139.00","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","4","","20251022","99999999","2439404G2024","0","0","ヨビパス皮下注２９４μｇペン","20251022","","","0","0","0","0"
"3","Y","622991701","20","ヨビパス皮下注４２０μｇペン　１．４ｍＬ","20","ﾖﾋﾞﾊﾟｽﾋｶﾁｭｳ420ﾏｲｸﾛGﾍ","51","3","キット","1","596310.00","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","4","","20251022","99999999","2439404G3020","0","0","ヨビパス皮下注４２０μｇペン","20251022","","","0","0","0","0"
"3","Y","622993701","10","ボルズィ錠２．５ｍｇ","15","ﾎﾞﾙｽﾞｨｼﾞｮｳ2.5MG","16","1","錠","1","47.80","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","1","","20251022","99999999","1190034F1022","0","0","ボルズィ錠２．５ｍｇ","20251022","","","0","0","0","0"
"3","Y","622993801","8","ボルズィ錠５ｍｇ","13","ﾎﾞﾙｽﾞｨｼﾞｮｳ5MG","16","1","錠","1","71.30","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","1","","20251022","99999999","1190034F2029","0","0","ボルズィ錠５ｍｇ","20251022","","","0","0","0","0"
"3","Y","622993901","9","ボルズィ錠１０ｍｇ","14","ﾎﾞﾙｽﾞｨｼﾞｮｳ10MG","16","1","錠","1","106.40","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","1","","20251022","99999999","1190034F3025","0","0","ボルズィ錠１０ｍｇ","20251022","","","0","0","0","0"
"3","Y","622996201","13","セタネオ点眼液０．００２％","17","ｾﾀﾈｵﾃﾝｶﾞﾝｴｷ0.002%","36","2","ｍＬ","1","800.00","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","6","","20251022","99999999","1319766Q1026","0","0","セタネオ点眼液０．００２％","20251022","","","0","0","0","0"
"3","Y","629701301","12","バイジュベックゲル　２瓶","13","ﾊﾞｲｼﾞｭﾍﾞｯｸｹﾞﾙ","8","1","組","1","2955232.70","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","6","","20251022","99999999","4900700X1026","0","0","バイジュベックゲル","20251022","","","0","0","0","0"
